Net_ID,Var,Factor,intervention_effect
0.0,0.01,0.0,0.0003809881727627751
0.0,0.01,1.0,2.912798582443976e-05
0.0,0.01,2.0,5.114368822417559e-06
0.0,0.01,3.0,-7.604238350111814e-10
0.0,0.01,4.0,-4.4549618360256726e-05
0.0,0.01,5.0,-3.059902871009601e-05
0.0,0.01,6.0,4.975149155928005e-06
0.0,0.01,7.0,-7.128423791850219e-05
0.0,0.01,8.0,-1.4396283054551873e-09
0.0,0.01,9.0,-0.00014111178614919367
0.0,0.01,10.0,-1.2248267841824534e-05
0.0,0.01,11.0,-2.520959480195595e-07
0.0,0.01,12.0,-2.6113574744524026e-06
0.0,0.01,13.0,-1.1741216425970036e-05
0.0,0.01,14.0,-0.00020600455882093611
0.0,0.01,15.0,-2.5672125498199527e-06
0.0,0.01,16.0,-3.7727327196757088e-06
0.0,0.01,17.0,-2.4864317410167036e-05
0.0,0.01,18.0,6.311280970919264e-05
0.0,0.01,19.0,-5.1338549684532e-05
0.0,0.01,20.0,-4.024425796089748e-05
0.0,0.01,21.0,-2.6184023347877727e-05
0.0,0.51,0.0,0.010898206478544337
0.0,0.51,1.0,0.00020980181177115975
0.0,0.51,2.0,0.0014868917115373748
0.0,0.51,3.0,-7.604238350111814e-10
0.0,0.51,4.0,-0.0013042779478524835
0.0,0.51,5.0,-0.0018569078502908426
0.0,0.51,6.0,0.00010848790990070079
0.0,0.51,7.0,-0.0015943004457068116
0.0,0.51,8.0,-1.4396283054551873e-09
0.0,0.51,9.0,-0.0017785053265487252
0.0,0.51,10.0,-0.00021191998485889374
0.0,0.51,11.0,-2.52095947658737e-07
0.0,0.51,12.0,-3.203280826052923e-05
0.0,0.51,13.0,0.0012922316045212157
0.0,0.51,14.0,-0.0002060056203530742
0.0,0.51,15.0,1.803911374038958e-05
0.0,0.51,16.0,-0.0001697433601565157
0.0,0.51,17.0,-0.0014369767757655971
0.0,0.51,18.0,0.0001413258372573445
0.0,0.51,19.0,-0.0023770950777362854
0.0,0.51,20.0,0.0019377976645235107
0.0,0.51,21.0,-2.6184023286364433e-05
0.0,1.01,0.0,0.021199964613968225
0.0,1.01,1.0,0.00046781046549065897
0.0,1.01,2.0,0.0028821070035637275
0.0,1.01,3.0,-7.604238488889692e-10
0.0,1.01,4.0,-0.00313500366093572
0.0,1.01,5.0,-0.00361261195532786
0.0,1.01,6.0,0.00044607812578051353
0.0,1.01,7.0,-0.003071491493779055
0.0,1.01,8.0,-1.4396282915773995e-09
0.0,1.01,9.0,-0.003358001999015342
0.0,1.01,10.0,-0.00040239856048365774
0.0,1.01,11.0,-2.5209594907427135e-07
0.0,1.01,12.0,2.4335466670410977e-06
0.0,1.01,13.0,0.0024899513418162877
0.0,1.01,14.0,-0.0002060071192502148
0.0,1.01,15.0,3.492238892928434e-05
0.0,1.01,16.0,-0.00023038879534142964
0.0,1.01,17.0,-0.0026815762759362094
0.0,1.01,18.0,0.0002774744641790283
0.0,1.01,19.0,-0.004572597596516986
0.0,1.01,20.0,0.003844772081588399
0.0,1.01,21.0,-2.6184023699561687e-05
0.0,1.51,0.0,0.0321117033998346
0.0,1.51,1.0,0.0007201449949567063
0.0,1.51,2.0,0.00412945472459203
0.0,1.51,3.0,-7.604238350111814e-10
0.0,1.51,4.0,-0.0035788734586595927
0.0,1.51,5.0,-0.005231120242425488
0.0,1.51,6.0,0.0002468530517176215
0.0,1.51,7.0,-0.004482921780230492
0.0,1.51,8.0,-1.4396283054551873e-09
