Var,Factor,pd_value,rope_value
0.2,0.0,0.0,0.0
0.2,1.0,0.0,1.0
0.2,2.0,0.0,1.0
0.2,3.0,0.0,1.0
0.2,4.0,0.552,1.0
0.2,5.0,0.984,1.0
0.2,6.0,0.504,1.0
0.2,7.0,0.972,1.0
0.2,8.0,0.984,1.0
0.2,9.0,0.968,1.0
0.2,10.0,0.92,1.0
0.2,11.0,0.0,1.0
0.2,12.0,0.504,1.0
0.2,13.0,0.0,1.0
0.2,14.0,0.512,1.0
0.2,15.0,0.0,1.0
0.2,16.0,0.556,1.0
0.2,17.0,0.984,1.0
0.2,18.0,0.364,1.0
0.2,19.0,0.972,1.0
0.2,20.0,0.036,1.0
0.2,21.0,0.008,1.0
0.4,0.0,0.0,0.0
0.4,1.0,0.0,1.0
0.4,2.0,0.0,1.0
0.4,3.0,0.0,1.0
0.4,4.0,0.636,1.0
0.4,5.0,0.988,1.0
0.4,6.0,0.5,1.0
0.4,7.0,0.98,1.0
0.4,8.0,0.996,1.0
0.4,9.0,0.956,1.0
0.4,10.0,0.88,1.0
0.4,11.0,0.0,1.0
0.4,12.0,0.528,1.0
0.4,13.0,0.0,1.0
0.4,14.0,0.488,1.0
0.4,15.0,0.0,1.0
0.4,16.0,0.52,1.0
0.4,17.0,1.0,0.988
0.4,18.0,0.38,1.0
0.4,19.0,0.964,1.0
0.4,20.0,0.032,1.0
0.4,21.0,0.028,1.0
0.6000000000000001,0.0,0.0,0.0
0.6000000000000001,1.0,0.0,1.0
0.6000000000000001,2.0,0.0,1.0
0.6000000000000001,3.0,0.0,1.0
0.6000000000000001,4.0,0.704,1.0
0.6000000000000001,5.0,0.988,0.988
0.6000000000000001,6.0,0.532,1.0
0.6000000000000001,7.0,0.992,0.988
0.6000000000000001,8.0,0.996,1.0
0.6000000000000001,9.0,0.936,1.0
0.6000000000000001,10.0,0.904,1.0
0.6000000000000001,11.0,0.0,1.0
0.6000000000000001,12.0,0.544,1.0
0.6000000000000001,13.0,0.0,0.996
0.6000000000000001,14.0,0.488,1.0
0.6000000000000001,15.0,0.0,1.0
0.6000000000000001,16.0,0.552,1.0
0.6000000000000001,17.0,1.0,0.992
0.6000000000000001,18.0,0.384,1.0
0.6000000000000001,19.0,0.992,0.984
0.6000000000000001,20.0,0.044,0.992
0.6000000000000001,21.0,0.172,1.0
0.8,0.0,0.0,0.004
0.8,1.0,0.0,1.0
0.8,2.0,0.0,0.988
0.8,3.0,0.0,1.0
0.8,4.0,0.772,0.988
0.8,5.0,0.88,0.956
0.8,6.0,0.592,1.0
0.8,7.0,0.96,0.976
0.8,8.0,0.996,1.0
0.8,9.0,0.912,1.0
0.8,10.0,0.8,1.0
0.8,11.0,0.0,1.0
0.8,12.0,0.608,1.0
0.8,13.0,0.0,0.996
0.8,14.0,0.4,1.0
0.8,15.0,0.0,1.0
0.8,16.0,0.572,1.0
0.8,17.0,0.98,0.932
0.8,18.0,0.452,1.0
0.8,19.0,0.988,0.98
0.8,20.0,0.056,0.984
0.8,21.0,0.38,1.0
1.0,0.0,0.14,0.212
1.0,1.0,0.056,1.0
1.0,2.0,0.044,0.992
1.0,3.0,0.0,1.0
1.0,4.0,0.756,0.972
1.0,5.0,0.496,0.956
1.0,6.0,0.744,1.0
1.0,7.0,0.684,0.972
1.0,8.0,0.988,1.0
1.0,9.0,0.808,1.0
1.0,10.0,0.48,1.0
1.0,11.0,0.0,1.0
1.0,12.0,0.76,1.0
1.0,13.0,0.1,0.976
1.0,14.0,0.264,1.0
1.0,15.0,0.14,1.0
1.0,16.0,0.676,1.0
1.0,17.0,0.732,0.92
1.0,18.0,0.66,1.0
1.0,19.0,0.896,0.94
1.0,20.0,0.14,0.992
1.0,21.0,0.44,1.0
1.2,0.0,0.616,0.812
1.2,1.0,0.368,1.0
1.2,2.0,0.256,1.0
1.2,3.0,0.0,1.0
1.2,4.0,0.528,1.0
1.2,5.0,0.116,0.992
1.2,6.0,0.516,1.0
1.2,7.0,0.204,0.984
1.2,8.0,0.988,1.0
1.2,9.0,0.432,0.996
1.2,10.0,0.46,1.0
1.2,11.0,0.0,1.0
1.2,12.0,0.54,1.0
1.2,13.0,0.32,1.0
1.2,14.0,0.336,1.0
1.2,15.0,0.548,1.0
1.2,16.0,0.44,1.0
1.2,17.0,0.268,0.984
1.2,18.0,0.556,1.0
1.2,19.0,0.512,0.972
1.2,20.0,0.38,1.0
1.2,21.0,0.62,1.0
1.4000000000000001,0.0,0.648,0.996
1.4000000000000001,1.0,0.368,1.0
1.4000000000000001,2.0,0.508,1.0
1.4000000000000001,3.0,0.0,1.0
1.4000000000000001,4.0,0.476,1.0
1.4000000000000001,5.0,0.052,1.0
1.4000000000000001,6.0,0.412,1.0
1.4000000000000001,7.0,0.088,1.0
1.4000000000000001,8.0,0.996,1.0
1.4000000000000001,9.0,0.3,1.0
1.4000000000000001,10.0,0.404,1.0
1.4000000000000001,11.0,0.0,1.0
1.4000000000000001,12.0,0.492,1.0
1.4000000000000001,13.0,0.516,1.0
1.4000000000000001,14.0,0.24,1.0
1.4000000000000001,15.0,0.716,1.0
1.4000000000000001,16.0,0.324,1.0
1.4000000000000001,17.0,0.064,1.0
1.4000000000000001,18.0,0.548,1.0
1.4000000000000001,19.0,0.348,1.0
1.4000000000000001,20.0,0.536,1.0
1.4000000000000001,21.0,0.82,1.0
