Var,Factor,pd_value,rope_value
0.2,0.0,1.0,1.0
0.2,1.0,0.996,1.0
0.2,2.0,1.0,1.0
0.2,3.0,0.0,1.0
0.2,4.0,0.468,1.0
0.2,5.0,0.016,1.0
0.2,6.0,0.464,1.0
0.2,7.0,0.028,1.0
0.2,8.0,0.984,1.0
0.2,9.0,0.028,1.0
0.2,10.0,0.092,1.0
0.2,11.0,0.0,1.0
0.2,12.0,0.484,1.0
0.2,13.0,1.0,1.0
0.2,14.0,0.488,1.0
0.2,15.0,0.996,1.0
0.2,16.0,0.444,1.0
0.2,17.0,0.012,1.0
0.2,18.0,0.624,1.0
0.2,19.0,0.024,1.0
0.2,20.0,0.968,1.0
0.2,21.0,0.008,1.0
0.4,0.0,1.0,1.0
0.4,1.0,1.0,1.0
0.4,2.0,1.0,1.0
0.4,3.0,0.0,1.0
0.4,4.0,0.392,1.0
0.4,5.0,0.012,1.0
0.4,6.0,0.512,1.0
0.4,7.0,0.012,1.0
0.4,8.0,0.996,1.0
0.4,9.0,0.044,1.0
0.4,10.0,0.116,1.0
0.4,11.0,0.0,1.0
0.4,12.0,0.472,1.0
0.4,13.0,1.0,1.0
0.4,14.0,0.512,1.0
0.4,15.0,1.0,1.0
0.4,16.0,0.476,1.0
0.4,17.0,0.004,1.0
0.4,18.0,0.6,1.0
0.4,19.0,0.032,1.0
0.4,20.0,0.968,1.0
0.4,21.0,0.028,1.0
0.6000000000000001,0.0,1.0,1.0
0.6000000000000001,1.0,0.996,1.0
0.6000000000000001,2.0,0.98,1.0
0.6000000000000001,3.0,0.0,1.0
0.6000000000000001,4.0,0.312,1.0
0.6000000000000001,5.0,0.0,1.0
0.6000000000000001,6.0,0.484,1.0
0.6000000000000001,7.0,0.004,1.0
0.6000000000000001,8.0,0.996,1.0
0.6000000000000001,9.0,0.072,1.0
0.6000000000000001,10.0,0.088,1.0
0.6000000000000001,11.0,0.0,1.0
0.6000000000000001,12.0,0.464,1.0
0.6000000000000001,13.0,0.984,1.0
0.6000000000000001,14.0,0.52,1.0
0.6000000000000001,15.0,0.984,1.0
0.6000000000000001,16.0,0.496,1.0
0.6000000000000001,17.0,0.0,1.0
0.6000000000000001,18.0,0.644,1.0
0.6000000000000001,19.0,0.044,1.0
0.6000000000000001,20.0,0.94,1.0
0.6000000000000001,21.0,0.172,1.0
0.8,0.0,0.944,1.0
0.8,1.0,0.928,1.0
0.8,2.0,0.94,1.0
0.8,3.0,0.0,1.0
0.8,4.0,0.28,1.0
0.8,5.0,0.012,1.0
0.8,6.0,0.52,1.0
0.8,7.0,0.032,1.0
0.8,8.0,0.996,1.0
0.8,9.0,0.1,1.0
0.8,10.0,0.104,1.0
0.8,11.0,0.0,1.0
0.8,12.0,0.492,1.0
0.8,13.0,0.952,1.0
0.8,14.0,0.508,1.0
0.8,15.0,0.932,1.0
0.8,16.0,0.48,1.0
0.8,17.0,0.032,1.0
0.8,18.0,0.604,1.0
0.8,19.0,0.048,1.0
0.8,20.0,0.868,1.0
0.8,21.0,0.38,1.0
1.0,0.0,0.868,0.996
1.0,1.0,0.688,1.0
1.0,2.0,0.7,1.0
1.0,3.0,0.0,1.0
1.0,4.0,0.384,1.0
1.0,5.0,0.036,1.0
1.0,6.0,0.512,1.0
1.0,7.0,0.088,1.0
1.0,8.0,0.988,1.0
1.0,9.0,0.156,1.0
1.0,10.0,0.22,1.0
1.0,11.0,0.0,1.0
1.0,12.0,0.508,1.0
1.0,13.0,0.796,1.0
1.0,14.0,0.504,1.0
1.0,15.0,0.78,1.0
1.0,16.0,0.452,1.0
1.0,17.0,0.072,1.0
1.0,18.0,0.564,1.0
1.0,19.0,0.284,1.0
1.0,20.0,0.684,1.0
1.0,21.0,0.44,1.0
1.2,0.0,0.724,1.0
1.2,1.0,0.504,1.0
1.2,2.0,0.512,1.0
1.2,3.0,0.0,1.0
1.2,4.0,0.42,1.0
1.2,5.0,0.032,1.0
1.2,6.0,0.468,1.0
1.2,7.0,0.076,1.0
1.2,8.0,0.988,1.0
1.2,9.0,0.188,1.0
1.2,10.0,0.468,1.0
1.2,11.0,0.0,1.0
1.2,12.0,0.448,1.0
1.2,13.0,0.668,1.0
1.2,14.0,0.388,1.0
1.2,15.0,0.712,1.0
1.2,16.0,0.448,1.0
1.2,17.0,0.124,1.0
1.2,18.0,0.496,1.0
1.2,19.0,0.352,1.0
1.2,20.0,0.536,1.0
1.2,21.0,0.62,1.0
1.4000000000000001,0.0,0.52,1.0
1.4000000000000001,1.0,0.488,1.0
1.4000000000000001,2.0,0.504,1.0
1.4000000000000001,3.0,0.0,1.0
1.4000000000000001,4.0,0.452,1.0
1.4000000000000001,5.0,0.036,1.0
1.4000000000000001,6.0,0.424,1.0
1.4000000000000001,7.0,0.084,1.0
1.4000000000000001,8.0,0.996,1.0
1.4000000000000001,9.0,0.272,1.0
1.4000000000000001,10.0,0.412,1.0
1.4000000000000001,11.0,0.0,1.0
1.4000000000000001,12.0,0.48,1.0
1.4000000000000001,13.0,0.532,1.0
1.4000000000000001,14.0,0.248,1.0
1.4000000000000001,15.0,0.544,1.0
1.4000000000000001,16.0,0.344,1.0
1.4000000000000001,17.0,0.06,1.0
1.4000000000000001,18.0,0.536,1.0
1.4000000000000001,19.0,0.32,1.0
1.4000000000000001,20.0,0.552,1.0
1.4000000000000001,21.0,0.82,1.0
