Var_1,Var_2,Factor,pd_value,rope_value
0.0,0.01,0.0,1.0,0.0
0.0,0.01,1.0,1.0,0.0
0.0,0.01,2.0,1.0,0.884
0.0,0.01,3.0,0.0,1.0
0.0,0.01,4.0,0.908,1.0
0.0,0.01,5.0,1.0,0.0
0.0,0.01,6.0,1.0,0.0
0.0,0.01,7.0,1.0,0.0
0.0,0.01,8.0,1.0,0.0
0.0,0.01,9.0,1.0,1.0
0.0,0.01,10.0,1.0,0.0
0.0,0.01,11.0,1.0,1.0
0.0,0.01,12.0,1.0,1.0
0.0,0.01,13.0,1.0,0.84
0.0,0.01,14.0,1.0,0.0
0.0,0.01,15.0,1.0,0.0
0.0,0.01,16.0,1.0,1.0
0.0,0.01,17.0,1.0,0.0
0.0,0.01,18.0,0.0,1.0
0.0,0.01,19.0,1.0,0.0
0.0,0.01,20.0,1.0,0.0
0.0,0.01,21.0,1.0,0.0
0.0,0.11,0.0,1.0,0.0
0.0,0.11,1.0,1.0,0.0
0.0,0.11,2.0,1.0,0.0
0.0,0.11,3.0,0.0,1.0
0.0,0.11,4.0,0.86,0.284
0.0,0.11,5.0,0.96,0.072
0.0,0.11,6.0,1.0,0.0
0.0,0.11,7.0,0.992,0.028
0.0,0.11,8.0,1.0,0.0
0.0,0.11,9.0,0.872,0.948
0.0,0.11,10.0,1.0,0.0
0.0,0.11,11.0,1.0,1.0
0.0,0.11,12.0,1.0,0.72
0.0,0.11,13.0,1.0,0.08
0.0,0.11,14.0,0.996,0.02
0.0,0.11,15.0,1.0,0.0
0.0,0.11,16.0,0.676,0.356
0.0,0.11,17.0,0.992,0.02
0.0,0.11,18.0,0.628,0.636
0.0,0.11,19.0,0.988,0.02
0.0,0.11,20.0,1.0,0.0
0.0,0.11,21.0,1.0,0.0
0.0,0.21000000000000002,0.0,0.984,0.004
0.0,0.21000000000000002,1.0,1.0,0.0
0.0,0.21000000000000002,2.0,1.0,0.0
0.0,0.21000000000000002,3.0,0.0,1.0
0.0,0.21000000000000002,4.0,0.796,0.228
0.0,0.21000000000000002,5.0,0.652,0.12
0.0,0.21000000000000002,6.0,1.0,0.0
0.0,0.21000000000000002,7.0,0.74,0.104
0.0,0.21000000000000002,8.0,1.0,0.0
0.0,0.21000000000000002,9.0,0.652,0.784
0.0,0.21000000000000002,10.0,1.0,0.0
0.0,0.21000000000000002,11.0,1.0,1.0
0.0,0.21000000000000002,12.0,0.972,0.532
0.0,0.21000000000000002,13.0,1.0,0.028
0.0,0.21000000000000002,14.0,0.776,0.1
0.0,0.21000000000000002,15.0,1.0,0.0
0.0,0.21000000000000002,16.0,0.624,0.116
0.0,0.21000000000000002,17.0,0.748,0.056
0.0,0.21000000000000002,18.0,0.78,0.284
0.0,0.21000000000000002,19.0,0.868,0.076
0.0,0.21000000000000002,20.0,1.0,0.0
0.0,0.21000000000000002,21.0,1.0,0.0
0.0,0.31000000000000005,0.0,0.952,0.004
0.0,0.31000000000000005,1.0,1.0,0.0
0.0,0.31000000000000005,2.0,0.992,0.004
0.0,0.31000000000000005,3.0,0.0,1.0
0.0,0.31000000000000005,4.0,0.676,0.192
0.0,0.31000000000000005,5.0,0.384,0.064
0.0,0.31000000000000005,6.0,0.956,0.016
0.0,0.31000000000000005,7.0,0.448,0.052
0.0,0.31000000000000005,8.0,1.0,0.0
0.0,0.31000000000000005,9.0,0.556,0.732
0.0,0.31000000000000005,10.0,0.964,0.044
0.0,0.31000000000000005,11.0,1.0,1.0
0.0,0.31000000000000005,12.0,0.86,0.408
0.0,0.31000000000000005,13.0,1.0,0.028
0.0,0.31000000000000005,14.0,0.52,0.052
0.0,0.31000000000000005,15.0,1.0,0.0
0.0,0.31000000000000005,16.0,0.684,0.048
0.0,0.31000000000000005,17.0,0.48,0.06
0.0,0.31000000000000005,18.0,0.868,0.096
0.0,0.31000000000000005,19.0,0.66,0.076
0.0,0.31000000000000005,20.0,1.0,0.0
0.0,0.31000000000000005,21.0,1.0,0.0
0.0,0.41000000000000003,0.0,0.908,0.004
0.0,0.41000000000000003,1.0,1.0,0.0
0.0,0.41000000000000003,2.0,0.984,0.008
0.0,0.41000000000000003,3.0,0.0,1.0
0.0,0.41000000000000003,4.0,0.696,0.196
0.0,0.41000000000000003,5.0,0.252,0.032
0.0,0.41000000000000003,6.0,0.936,0.0
0.0,0.41000000000000003,7.0,0.332,0.032
0.0,0.41000000000000003,8.0,1.0,0.0
0.0,0.41000000000000003,9.0,0.38,0.656
0.0,0.41000000000000003,10.0,0.664,0.076
0.0,0.41000000000000003,11.0,1.0,1.0
0.0,0.41000000000000003,12.0,0.748,0.272
0.0,0.41000000000000003,13.0,0.992,0.036
0.0,0.41000000000000003,14.0,0.376,0.156
0.0,0.41000000000000003,15.0,1.0,0.0
0.0,0.41000000000000003,16.0,0.644,0.04
0.0,0.41000000000000003,17.0,0.336,0.012
0.0,0.41000000000000003,18.0,0.78,0.036
0.0,0.41000000000000003,19.0,0.668,0.028
0.0,0.41000000000000003,20.0,1.0,0.0
0.0,0.41000000000000003,21.0,1.0,0.0
0.1,0.01,0.0,1.0,0.0
0.1,0.01,1.0,1.0,0.0
0.1,0.01,2.0,1.0,0.0
0.1,0.01,3.0,0.0,1.0
0.1,0.01,4.0,1.0,0.0
0.1,0.01,5.0,1.0,0.0
0.1,0.01,6.0,1.0,0.0
0.1,0.01,7.0,1.0,0.0
0.1,0.01,8.0,1.0,0.0
0.1,0.01,9.0,1.0,1.0
0.1,0.01,10.0,1.0,0.0
0.1,0.01,11.0,1.0,1.0
0.1,0.01,12.0,1.0,1.0
0.1,0.01,13.0,1.0,0.0
0.1,0.01,14.0,1.0,0.0
0.1,0.01,15.0,1.0,0.0
0.1,0.01,16.0,1.0,0.236
0.1,0.01,17.0,1.0,0.0
0.1,0.01,18.0,0.988,1.0
0.1,0.01,19.0,1.0,0.0
0.1,0.01,20.0,1.0,0.0
0.1,0.01,21.0,1.0,0.0
0.1,0.11,0.0,1.0,0.004
0.1,0.11,1.0,1.0,0.0
0.1,0.11,2.0,1.0,0.0
0.1,0.11,3.0,0.0,1.0
0.1,0.11,4.0,0.908,0.136
0.1,0.11,5.0,0.876,0.096
0.1,0.11,6.0,1.0,0.0
0.1,0.11,7.0,0.912,0.088
0.1,0.11,8.0,1.0,0.0
0.1,0.11,9.0,0.76,0.888
0.1,0.11,10.0,1.0,0.0
0.1,0.11,11.0,1.0,1.0
0.1,0.11,12.0,1.0,0.648
0.1,0.11,13.0,1.0,0.024
0.1,0.11,14.0,0.956,0.044
0.1,0.11,15.0,1.0,0.0
0.1,0.11,16.0,0.696,0.248
0.1,0.11,17.0,0.944,0.076
0.1,0.11,18.0,0.708,0.516
0.1,0.11,19.0,0.952,0.068
0.1,0.11,20.0,1.0,0.0
0.1,0.11,21.0,1.0,0.0
0.1,0.21000000000000002,0.0,0.984,0.0
0.1,0.21000000000000002,1.0,1.0,0.0
0.1,0.21000000000000002,2.0,1.0,0.0
0.1,0.21000000000000002,3.0,0.0,1.0
0.1,0.21000000000000002,4.0,0.84,0.136
0.1,0.21000000000000002,5.0,0.604,0.128
0.1,0.21000000000000002,6.0,0.992,0.0
0.1,0.21000000000000002,7.0,0.664,0.068
0.1,0.21000000000000002,8.0,1.0,0.0
0.1,0.21000000000000002,9.0,0.58,0.836
0.1,0.21000000000000002,10.0,1.0,0.0
0.1,0.21000000000000002,11.0,1.0,1.0
0.1,0.21000000000000002,12.0,0.968,0.488
0.1,0.21000000000000002,13.0,1.0,0.036
0.1,0.21000000000000002,14.0,0.564,0.056
0.1,0.21000000000000002,15.0,1.0,0.0
0.1,0.21000000000000002,16.0,0.68,0.12
0.1,0.21000000000000002,17.0,0.696,0.056
0.1,0.21000000000000002,18.0,0.82,0.148
0.1,0.21000000000000002,19.0,0.808,0.056
0.1,0.21000000000000002,20.0,1.0,0.0
0.1,0.21000000000000002,21.0,1.0,0.0
0.1,0.31000000000000005,0.0,0.948,0.004
0.1,0.31000000000000005,1.0,1.0,0.0
0.1,0.31000000000000005,2.0,1.0,0.0
0.1,0.31000000000000005,3.0,0.0,1.0
0.1,0.31000000000000005,4.0,0.724,0.168
0.1,0.31000000000000005,5.0,0.372,0.032
0.1,0.31000000000000005,6.0,0.956,0.012
0.1,0.31000000000000005,7.0,0.468,0.04
0.1,0.31000000000000005,8.0,1.0,0.0
0.1,0.31000000000000005,9.0,0.472,0.772
0.1,0.31000000000000005,10.0,0.968,0.04
0.1,0.31000000000000005,11.0,1.0,1.0
0.1,0.31000000000000005,12.0,0.816,0.372
0.1,0.31000000000000005,13.0,1.0,0.02
0.1,0.31000000000000005,14.0,0.468,0.048
0.1,0.31000000000000005,15.0,1.0,0.0
0.1,0.31000000000000005,16.0,0.604,0.088
0.1,0.31000000000000005,17.0,0.544,0.028
0.1,0.31000000000000005,18.0,0.848,0.068
0.1,0.31000000000000005,19.0,0.688,0.052
0.1,0.31000000000000005,20.0,1.0,0.0
0.1,0.31000000000000005,21.0,1.0,0.0
0.1,0.41000000000000003,0.0,0.928,0.012
0.1,0.41000000000000003,1.0,1.0,0.0
0.1,0.41000000000000003,2.0,0.98,0.012
0.1,0.41000000000000003,3.0,0.0,1.0
0.1,0.41000000000000003,4.0,0.676,0.16
0.1,0.41000000000000003,5.0,0.208,0.044
0.1,0.41000000000000003,6.0,0.936,0.004
0.1,0.41000000000000003,7.0,0.288,0.06
0.1,0.41000000000000003,8.0,1.0,0.0
0.1,0.41000000000000003,9.0,0.332,0.656
0.1,0.41000000000000003,10.0,0.664,0.096
0.1,0.41000000000000003,11.0,1.0,1.0
0.1,0.41000000000000003,12.0,0.72,0.24
0.1,0.41000000000000003,13.0,0.996,0.04
0.1,0.41000000000000003,14.0,0.384,0.156
0.1,0.41000000000000003,15.0,1.0,0.0
0.1,0.41000000000000003,16.0,0.644,0.08
0.1,0.41000000000000003,17.0,0.336,0.04
0.1,0.41000000000000003,18.0,0.836,0.024
0.1,0.41000000000000003,19.0,0.588,0.06
0.1,0.41000000000000003,20.0,1.0,0.0
0.1,0.41000000000000003,21.0,1.0,0.0
0.2,0.01,0.0,1.0,0.0
0.2,0.01,1.0,1.0,0.0
0.2,0.01,2.0,1.0,0.0
0.2,0.01,3.0,0.0,1.0
0.2,0.01,4.0,1.0,0.0
0.2,0.01,5.0,0.096,0.6
0.2,0.01,6.0,1.0,0.0
0.2,0.01,7.0,0.552,0.876
0.2,0.01,8.0,1.0,0.0
0.2,0.01,9.0,0.32,1.0
0.2,0.01,10.0,1.0,0.0
0.2,0.01,11.0,1.0,1.0
0.2,0.01,12.0,1.0,0.008
0.2,0.01,13.0,1.0,0.0
0.2,0.01,14.0,1.0,0.0
0.2,0.01,15.0,1.0,0.0
0.2,0.01,16.0,1.0,0.0
0.2,0.01,17.0,1.0,0.016
0.2,0.01,18.0,1.0,0.0
0.2,0.01,19.0,1.0,0.0
0.2,0.01,20.0,1.0,0.0
0.2,0.01,21.0,1.0,0.0
0.2,0.11,0.0,1.0,0.0
0.2,0.11,1.0,1.0,0.0
0.2,0.11,2.0,1.0,0.0
0.2,0.11,3.0,0.0,1.0
0.2,0.11,4.0,0.924,0.088
0.2,0.11,5.0,0.484,0.128
0.2,0.11,6.0,1.0,0.0
0.2,0.11,7.0,0.532,0.14
0.2,0.11,8.0,1.0,0.0
0.2,0.11,9.0,0.476,0.872
0.2,0.11,10.0,1.0,0.0
0.2,0.11,11.0,1.0,1.0
0.2,0.11,12.0,0.996,0.388
0.2,0.11,13.0,1.0,0.008
0.2,0.11,14.0,0.636,0.164
0.2,0.11,15.0,1.0,0.0
0.2,0.11,16.0,0.768,0.148
0.2,0.11,17.0,0.672,0.08
0.2,0.11,18.0,0.924,0.132
0.2,0.11,19.0,0.78,0.104
0.2,0.11,20.0,1.0,0.0
0.2,0.11,21.0,1.0,0.0
0.2,0.21000000000000002,0.0,0.964,0.0
0.2,0.21000000000000002,1.0,1.0,0.0
0.2,0.21000000000000002,2.0,0.996,0.0
0.2,0.21000000000000002,3.0,0.0,1.0
0.2,0.21000000000000002,4.0,0.836,0.096
0.2,0.21000000000000002,5.0,0.376,0.056
0.2,0.21000000000000002,6.0,0.98,0.008
0.2,0.21000000000000002,7.0,0.436,0.048
0.2,0.21000000000000002,8.0,1.0,0.0
0.2,0.21000000000000002,9.0,0.448,0.756
0.2,0.21000000000000002,10.0,0.988,0.024
0.2,0.21000000000000002,11.0,1.0,1.0
0.2,0.21000000000000002,12.0,0.892,0.428
0.2,0.21000000000000002,13.0,1.0,0.016
0.2,0.21000000000000002,14.0,0.56,0.088
0.2,0.21000000000000002,15.0,1.0,0.0
0.2,0.21000000000000002,16.0,0.78,0.064
0.2,0.21000000000000002,17.0,0.536,0.076
0.2,0.21000000000000002,18.0,0.84,0.1
0.2,0.21000000000000002,19.0,0.656,0.112
0.2,0.21000000000000002,20.0,1.0,0.0
0.2,0.21000000000000002,21.0,1.0,0.0
0.2,0.31000000000000005,0.0,0.92,0.0
